postal_code,Years,useful,funny,cool,Price,use_change,fun_change,coo_change,pri_change,use_median,fun_median,coo_median,pri_median,use_std,fun_std,coo_std,pri_std,stars_1,stars_2,stars_3,stars_4,stars_5,Star1_change,Star2_change,Star3_change,Star4_change,Star5_change,stars,sta_median,sta_std,reviews_perc,prev_stars,Star_change,NumBsqft_Rev,Bsqft_change,MedPrice_sqft(t),MedPrice_sqft_tminus1,MedPrice_sqft_tminus2,MedPrice_sqft_tplus1
15017,2012,1.239130435,0.405797101,0.31884058,1.682539683,-0.029134917,-0.065436978,-0.362318841,0.01972102,0,0,0,2,2.403022269,1.091691791,1.094014954,0.643212623,0.137681159,0.101449275,0.202898551,0.326086957,0.231884058,-0.048748353,0.285024155,-0.265700483,0.077504726,0.174879227,3.413043478,4,1.322065741,0.008254576,3.328947368,0.025262073,4.384615385,0.727272727,98,98,97,101
15017,2013,1.175213675,0.337606838,0.320512821,1.814285714,-0.051581946,-0.168040293,0.005244755,0.078301887,0,0,0,2,2.038067164,1.417743265,1.275321282,0.620725549,0.153846154,0.145299145,0.132478632,0.256410256,0.311965812,0.117408907,0.432234432,-0.347069597,-0.213675214,0.345352564,3.427350427,4,1.446120988,0.011118502,3.413043478,0.004191845,4.846153846,0.105263158,101,98,98,104
15017,2014,0.97752809,0.202247191,0.288389513,1.773809524,-0.168212462,-0.4009387,-0.100224719,-0.022309711,0,0,0,2,2.007378465,0.89920318,1.358340993,0.567199641,0.198501873,0.082397004,0.123595506,0.25093633,0.344569288,0.290262172,-0.432914739,-0.06705328,-0.021348315,0.104509774,3.460674157,4,1.517240618,0.00926665,3.427350427,0.009722884,5.923076923,0.222222222,104,101,98,109.5
15017,2015,0.666666667,0.139088729,0.263788969,1.773584906,-0.318007663,-0.312283507,-0.085303186,-0.00012663,0,0,0,2,1.458287545,0.596328619,0.981785086,0.606049171,0.179856115,0.103117506,0.143884892,0.220623501,0.352517986,-0.093932401,0.25147155,0.164159581,-0.120798883,0.023068502,3.462829736,4,1.498134947,0.010716488,3.460674157,0.000622878,32.07692308,4.415584416,109.5,104,101,115.5
15017,2016,0.53654485,0.139534884,0.272425249,1.75,-0.195182724,0.003207698,0.032739354,-0.013297872,0,0,0,2,1.668787565,0.741315858,1.501703004,0.606536214,0.1910299,0.131229236,0.101328904,0.202657807,0.373754153,0.062126246,0.272618404,-0.29576412,-0.08143146,0.060241372,3.436877076,4,1.55117975,0.013693022,3.462829736,-0.007494639,46.30769231,0.443645084,115.5,109.5,104,119
15024,2011,2.428571429,0.428571429,1.428571429,1.857142857,0,0,0,0,2,0,1,2,1.272418021,0.786795792,1.397276262,0.899735411,0.142857143,0,0.285714286,0.571428571,0,0,0,0,0,0,3.285714286,4,1.112697281,0.00059988,5,-0.342857143,0.419161677,0,90.5,91,89,91
15024,2012,0.428571429,0.285714286,0.285714286,1.5,-0.823529412,-0.333333333,-0.8,-0.192307692,0,0,0,1.5,0.534522484,0.487950036,0.487950036,0.577350269,0,0,0.142857143,0.285714286,0.571428571,-1,0,-0.5,-0.5,0,4.428571429,5,0.786795792,0.00041871,3.285714286,0.347826087,0.239520958,-0.428571429,91,90.5,91,92
15024,2013,0.3,0.1,0.1,1.888888889,-0.3,-0.65,-0.65,0.259259259,0,0,0,2,0.483045892,0.316227766,0.316227766,0.78173596,0,0.2,0.1,0.3,0.4,0,0,-0.3,0.05,-0.3,3.9,4,1.197219,0.00047515,4.428571429,-0.119354839,0.479041916,1,92,91,90.5,96.5
15024,2014,0.608695652,0.130434783,0.347826087,2.111111111,1.028985507,0.304347826,2.47826087,0.117647059,0,0,0,2,1.117591991,0.457696587,0.647280721,0.927960727,0.260869565,0.043478261,0.173913043,0.260869565,0.260869565,0,-0.782608696,0.739130435,-0.130434783,-0.347826087,3.217391304,4,1.565436963,0.000798251,3.9,-0.175027871,0.538922156,0.125,96.5,92,91,99
15024,2015,0.333333333,0.222222222,0.111111111,1.625,-0.452380952,0.703703704,-0.680555556,-0.230263158,0,0,0,1.5,0.5,0.440958552,0.333333333,0.744023809,0.444444444,0.222222222,0,0,0.333333333,0.703703704,4.111111111,-1,-1,0.277777778,2.555555556,2,1.878237945,0.000231291,3.217391304,-0.205705706,0.538922156,0,99,96.5,92,100
